City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,kavieng,-2.5744,150.7967,300.74,79,99,4.0,PG,2023-02-08 01:51:01
284,mpulungu,-8.7623,31.1141,293.83,87,100,1.07,ZM,2023-02-08 01:51:01
285,korla,41.7597,86.1469,271.61,85,14,0.89,CN,2023-02-08 01:51:02
286,asyut,27.181,31.1837,280.25,59,83,2.12,EG,2023-02-08 01:51:03
287,uige,-7.6087,15.0613,291.86,93,100,1.71,AO,2023-02-08 01:51:04
288,port shepstone,-30.7414,30.455,296.77,82,100,7.83,ZA,2023-02-08 01:51:08
289,miranda,3.2499,-76.2281,296.22,85,81,2.61,CO,2023-02-08 01:51:09
290,guerrero negro,27.9769,-114.0611,291.42,30,0,2.89,MX,2023-02-08 01:50:58
291,bafra,41.5678,35.9069,274.72,91,100,7.21,TR,2023-02-08 01:51:12
292,agnibilekrou,7.1344,-3.2047,296.1,92,98,1.59,CI,2023-02-08 01:51:14
293,zakamensk,50.3741,103.2863,254.89,94,68,1.38,RU,2023-02-08 01:51:14
294,jining,35.405,116.5814,282.06,55,100,3.64,CN,2023-02-08 01:49:02
295,saint-prosper,46.2117,-70.4811,268.31,94,100,3.79,CA,2023-02-08 01:51:17
296,kiknur,57.3034,47.2011,259.61,93,100,4.11,RU,2023-02-08 01:51:18
297,golden,39.7555,-105.2211,276.16,47,0,3.09,US,2023-02-08 01:51:21
298,launceston,-41.45,147.1667,295.16,54,40,3.6,AU,2023-02-08 01:48:39
299,oistins,13.0667,-59.5333,297.2,88,75,8.75,BB,2023-02-08 01:51:23
300,buraydah,26.326,43.975,281.4,43,100,2.92,SA,2023-02-08 01:51:24
301,tura,25.5198,90.2201,291.03,47,97,1.02,IN,2023-02-08 01:51:26
302,bryan,30.6744,-96.37,294.01,87,100,4.63,US,2023-02-08 01:51:15
